ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL	SourceURL
eplinjector	tool	P5 EPL Injector	p5	TGE	10/29/2018	Particle	Drag an EPL file from Persona 5 onto this EXE to extract all GMD files. Drag a folder containing GMD files onto the EXE to repack the EPL file. Useful for editing effect models or All Out Attack images.	<b>Update 5/20/2019:</b><br>- Now you can edit elemental affinities for any Persona in UNIT.TBL!	https://cdn.discordapp.com/attachments/143149937247387649/506705273142902784/unknown.png	https://cdn.discordapp.com/attachments/143149937247387649/630936955382923284/p5eplinjector_1.2.7z	
pqcheatengine	tool	PQ CheatEngine Table	pq	lipsum	12/14/2018	CheatEngine	A cheat table for Persona Q, for use while playing on Citra.		https://github.com/zarroboogs/pqct/raw/master/img/preview.png	https://github.com/zarroboogs/pqct	
p5nametbleditor	tool	Persona5NameTableEditor	p5	ShrineFox	5/20/2019	Table	You can use this to edit strings in the NAME.TBL until a better solution comes along. Only works with unedited Persona 5 NAME.TBL for now.		https://cdn.discordapp.com/attachments/316238229948989450/580160045162168343/Capture.png	https://cdn.discordapp.com/attachments/517869837494517800/525162683998404609/Persona5NameTableEditor.zip	
pq2cheatengine	tool	PQ2 CheatEngine Table	pq2	lipsum	5/23/2019	CheatEngine	A cheat table for Persona Q2, for use while playing on Citra.		https://github.com/zarroboogs/pq2ct/raw/master/img/preview.png	https://github.com/zarroboogs/pq2ct	
io_plg	tool	io_plg	p5,p5r,p5r-pc,p5r-nx	lipsum	10/10/2019	PLG	A Blender Import-Export addon for the PLG format mesh collections found in some Atlus games. With this script you can import a PLG file to a blender mesh collection, or export a mesh collection to a PLG file.		https://github.com/zarroboogs/io_plg/raw/master/img/import.png	https://github.com/zarroboogs/io_plg/archive/master.zip	
bustupparameditorgui	tool	BustupParamEditorGUI	p5	ShrineFox	11/15/2019	Bustups	New version of BustupParamEditor that allows you to change the values for X and Y positioning of the mouth, eyes, or the entire bustup. You can also add/rename entries, create new bustup .bin files, and repack edited images back into P5's bustup .bin format.	<b>Update 11/15/2019:</b><br> - Allow adding/renaming entries, creating new .bin files<br>- Automatically tries to recover last param/bustup dir path at startup<br>- Uses values from param file to select bustups now instead of static list of names<br>- Appends new entries to selected params file<br>- Can now create .bins for param entries that lack one<br>- Can now rename existing/unused entries instead of adding them	https://cdn.discordapp.com/attachments/316238229948989450/645040833485209600/unknown.png	https://github.com/ShrineFox/BustupParamEditorGUI/releases/tag/1.0	
p4g-mod-cpk	tool	P4G Mod Support	p4g-psv	lipsum	1/14/2020	CPK	Includes (for P4G US/JP):<br>- a patch that enables mod.cpk support (no more repacking 1.8GB data.cpk every single time)<br>- an intro skip patch<br>- an auto patching script<br>- a mod that serves as an indicator to see if mod.cpk support is enabled + fixes an annoying bug in US P4G's title screen (in Mod Compendium and prepackaged form).	https://cdn.discordapp.com/attachments/316238229948989450/666816272650076170/p4g-fix.png	https://mega.nz/folder/SrZ3VARJ#W1S3KrSbvW0-q6BCUw_jqA	https://github.com/zarroboogs/p4g-patches	
p5-gfd-rel	tool	010 Editor GFD Template	p5	TGE	1/19/2020	Skin,Particle	010 Editor Template for GMD/GFS/BED/EPL/EPT/BFL. Now with full support for EPL.			https://cdn.discordapp.com/attachments/316238229948989450/668573821762011186/p5_gfd_rel_3.7z	
p5cutintool	tool	Persona 5 Cutin Tool	p5	CelestialAmber,rxys	2/3/2020	Cutin	Tool for packing and decompressing the Persona 5 Cutin .dds images. Ported from this Python script by yukinogatari: https://github.com/yukinogatari/Reverse-Engineering/blob/master/Persona%205/p5_unpack.py <br>Usage: P5CutinTool cutinDir	<b>Update 2/3/2020:</b><br>Now supports recompressing cutins thanks to rxys.		https://github.com/CelestialAmber/Persona-5-Cutin-Tool	
p5r-anim-backport	tool	P5R Animation Backport (GFDStudio Fork)	p5r	Elvagan	6/7/2020	Animation,Port	GFD Studio Fork that will automatically convert P5R Animations to be loadable in P5 vanilla. It's still not in a release state so you'll need to compile it by yourself to test it. But I believe some people might be interested with it :)		https://streamable.com/bb5zkr	https://github.com/Elvagan/GFD-Studio	
xacttool	tool	xacttool	p4g-psv,p4g32	TGE	6/15/2020	BGM	WIP tool for extracting/modifying XWB files.<br> <br><br><b>Known issues</b> <br>- Extracting some XWB files crashes the program such as ROOT.xwb. You can alternatively use unxwb for this. <br><br><b>Usage</b> <br>Replaces BGM019/index 20 with BGM019.wav with the loop information set: <br><i>xacttool -wb "BGM.xwb" -r "BGM019.wav" -ls 717056 -le 4511872</i> <br>Extracts the waves from the XWB file: <br><i>xacttool -wb "BGM.xwb" -x</i>			https://cdn.discordapp.com/attachments/316238229948989450/721606375662419988/xacttool_0.1.7z	
p4g-save-converter	tool	Persona 4 Golden Save Converter	p4g-psv,p4g32	lipsum	6/16/2020	Saves	<span style="font-style:italic">convert_vita2pc.py</span> is a utility that converts P4G PS Vita saves to P4G PC saves:<br> <ul> <li>PS Vita <span style="font-style:italic">data00XX.bin</span> and <span style="font-style:italic">system.bin</span> files are converted to the PC format (see FAQ #1 in README.md).</li> <li>PS Vita <span style="font-style:italic">sdslot.dat</span> file is converted to PC <span style="font-style:italic">data00XX.binslot</span> files (see FAQ #2 in README.md).</li> </ul> <span style="font-weight:bold">This tool will convert the above into proper PC <span style="font-style:italic">.bin</span>/<span style="font-style:italic">.binslot</span> files.</span><br> <br> <span style="color:#FF0000"><span style="font-weight:bold"><span style="font-style:italic">There's no need to edit any hashes manually.</span></span></span><br> <br> <span style="font-style:italic">convert_pc2vita.py</span> is a utility that converts P4G PC saves to P4G PS Vita saves by reversing the actions described above.<br> <br> <span style="font-weight:bold"><span style="color:#FF0000">WARNING: REMEMBER TO BACKUP YOUR SAVES BEFORE USING THIS TOOL.</span></span><br>				
persona-randomizer	tool	PersonaRandomizer (Beta)	p5	ShrineFox,TGE	9/17/2020	Table	A largely untested WIP tool meant to randomize TBL values in Persona games. P5's ENCOUNT.TBL should work for randomized encounters.		https://i.imgur.com/D5jUqSv.png	https://drive.google.com/file/d/1fscQzOAqOharavexhOPuIA7d3m3F_zbk/view	
p5r-template	tool	Unofficial P5R 010 Template	p5r	Scarltz	12/15/2020	Table	010 Template for editing TBL files in Persona 5 Royal.	Added Persona 5 Strikers support		https://cdn.discordapp.com/attachments/681270126657798295/788305327811854366/p5r_010template.zip	
p4adachinavi	mod	P4 Adachi Navigator	p4	ShrineFox	1/3/2016	Voice,UI,Text	A mod that replaces Teddie's navigator dialog with Tohru Adachi's clips from Persona 4 Arena Ultimax.		https://www.youtube.com/watch?v=nukx1gSCF4c	https://drive.google.com/open?id=1nrml3H3qFUfZUarUEyvEno-2xqKfofF1	
p3adachi	mod	P3FES Playable Adachi	p3fes	ShrineFox	2/1/2016	Player,Voice,UI,Text,Persona	- Changes Models, Graphics and Music to suit Tohru Adachi. Includes custom HUD icons, pause screen renders and cut-ins. Magatsu Izanagi imported over Thanatos, new Magatsu Orpheus design and misc music tracks replaced		https://www.youtube.com/watch?v=wmJzWce0C6w	https://drive.google.com/open?id=1VbGsgYLoX-bZbFEEbm1_pF0Q6LNmAlXD	
420yosuke	mod	Persona 420 (Weed Yosuke)	p4	ShrineFox	4/20/2016	Party,Voice	A mod for Persona 4 that replaces Yosuke Hanamura's voice clips and textures with ones from Yuri Lowenthal's performance in GTA V.		https://www.youtube.com/watch?v=SEDpQy5EPR4	https://drive.google.com/open?id=1u9V3TuTqRccKikIjEXayBLKkkRdUgjUV	
p3paltmodels	mod	Alternate Playable Character Models	p3p	I Am Me	6/29/2016	Party,Player	A collection of party member model replacements for use with the Mod Compendium.		http://i.imgur.com/1BpZnui.png	https://drive.google.com/open?id=1tSKl9GYR7tbERDEyFaY5XQjagXdcptGM	
p4gshinji	mod	Shinji as Protagonist	p4g-psv	I Am Me	6/29/2016	Player	Shinji model from P3P with edited animations for use as a MC replacement.		https://www.youtube.com/watch?v=Ym9pMLQMkd8	https://drive.google.com/open?id=1m5GmIHA9ThY5E__Zci2v9EtS58rlBihG	
p4gfemc	mod	FEMC as Protagonist	p4g-psv	I Am Me	6/29/2016	Player	FEMC model from P3P with edited animations for use as a MC replacement.		https://www.youtube.com/watch?v=OflMoL8o7Uk	https://drive.google.com/open?id=1L48D_GUSJoPl6fSIb6oAYMycFeXQvJ_v	
nonavi	mod	No Navigator Mod	p5	ShrineFox	4/22/2017	Voice	Modified ACB/AWB files that prevent Morgana, Futaba, and Makoto's navigator clips from playing in-battle.		https://www.youtube.com/watch?v=TzrBuuXUBh4	https://drive.google.com/open?id=0B3-7m2SbyW5QLUlpQzR0aEJRTzQ	
p3post	mod	P3P Music in FES	p3fes	Evanjellydonut	5/1/2017	BGM	A mod that replaces some of the OST tracks to match the female protagonist's BGM from the PSP version of the game.			https://drive.google.com/open?id=1NuA4TgvxHsUNd-ePC0nwvE4i6nF7_km8	
comicsans	mod	Comic Sans Font	p5	ShrineFox	5/15/2017	Font,UI	Modifies the main font of the game to use comic sans. Some might find this option more legible, all jokes aside.		https://www.youtube.com/watch?v=SFEkR4eiL1c	https://drive.google.com/file/d/1ER0hO9NloxqGhDfByM7FT7ytNYAxYUEP/view?usp=sharing	
p5font	mod	P5 Font for P4	p4	narcku	5/16/2017	Font,UI	A mod that replaces P4's font with a custom one made from Persona 5's font.			https://drive.google.com/open?id=1KbT09puwdQG4zfcbnvlP6TYZMPXDMo-A	
p3pnarukami	mod	Narukami Mod	p3p	narcku	6/12/2017	UI,Player,Party,BGM,Voice	P3P Male MC into P4 MC, English Voice to Japanese Voice(Undub by Gracek-Xilo) -Custom BGM tracks, New costumes, weapons, etc		http://i.imgur.com/XdO8OMG.png	https://drive.google.com/open?id=1gUave6u3NZGByEaYNrfn6zCe4Kn7gtWe	
makehistory	mod	P4 "Time to Make History" Mod	p4	ShrineFox	7/18/2017	BGM	A mod that replaces the battle theme in P4 with "Time to Make History		https://www.youtube.com/watch?v=jqNGDkzK3cI	https://drive.google.com/open?id=1i6V-Vauk3aLrCIMnATwrqzdUCeSa6-pA	
p4moddableundub	mod	Persona 4 Moddable Undub	p4	ShrineFox	10/23/2017	Voice	This is another version of the original Undub mod for Persona 4, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools.		https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=13lvyQTOtdlOlussIFEKkG57ilfVcESYE	
p3moddableundub	mod	Persona 3 Moddable Undub	p3fes	ShrineFox	10/23/2017	Voice	This is another version of the original Undub mod for Persona 3 FES, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools.		https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=1I8OM1jlKweQY0ylo8zxWZvw6evZS9DHd	
p4d-dante	mod	Dante Over Narukami	p4d	TGE	11/22/2017	Player	Replaces Yu Narukami's Winter Uniform with <br>Dante from DMC's model from SMT: Nocturne.		https://www.youtube.com/watch?v=4NTsHQLXw2w	https://drive.google.com/open?id=1Hi6jViUv303plm6uZTtnY9dfUZBPSrCe	
partycontrol	mod	P3 Controllable Party Members	p3fes	TGE,Warrior250	10/18/2020	QoL	This cheat code allows you to take control of your party members during their turn, just like in Persona 3 Portable and Persona 4.	<b>Update 10/18/2020</b>: Thanks to Warrior250, here is a version of TGEnigma's Controllable Character Mod that retains regen abilities. It allows access to the in battle Persona Change menu for everyone, but this can easily be ignored.	https://www.youtube.com/watch?v=rS_YQ7wPhvY	https://mega.nz/file/qG5QgILR#JBrOyH6pjTRztGVXfCejjfanFnFlYmpiDtn3duHFnus	
p4d-femc	mod	FEMC Over Rise	p4d	Kiyo_Pen,ShrineFox	4/3/2018	Player	This mod replaces Rise's Gekkoukan Uniform outfit with <br>the female protagonist of P3P. Custom model made <br>by Kiyo_pen.		https://www.youtube.com/watch?v=lz-jq9WtfOY	https://drive.google.com/open?id=1PUGI1xkcsGKqB-3puozPKn3uUmYpdy1t	
p4d-weedyosuke	mod	Weed Yosuke	p4d	ShrineFox	4/20/2018	Player	Replaces Yosuke Hanamura's winter outfit. <br>Featuring Yuki Mishima T-posing as <br>a replacement for Yu's Featherman <br>costume.		https://www.youtube.com/watch?v=yr2i5qiMrHY	https://drive.google.com/open?id=1yivv7S8DuZkn-4nMcxP0mHj8IS-Cg3G0	
p3pundub	mod	P3P Undub	p3p	ShrineFox	5/3/2018	Voice	Replaces voice clips with the Japanese equivalents.			https://drive.google.com/open?id=1gftTr_yLgKGUEVVwtLQ-cpqPhgkAgLkR	
p3ddoorkun	mod	Door-Kun	p3d	ShrineFox	6/2/2018	Player	You already know who it is.		https://www.youtube.com/watch?v=dchE8qMy22I	https://drive.google.com/open?id=1Yfvs3otKAtsWwk8cB6Q4sq9J49ad3V9P	
p5dchairkun	mod	Chair-Kun	p5d	ShrineFox	6/3/2018	Player	You already know who it is.		https://www.youtube.com/watch?v=q1ARjzOzEaA	https://drive.google.com/open?id=1eJMWuqf9EEmqWP6JalCClhCQSU-9Vn0-	
iwatodaidorm	mod	Iwatodai Dorm	p5	DeathChaosV2	6/11/2018	Fields	Replaces unused field f000_100 with a model of Iwatodai dormitory		https://www.youtube.com/watch?v=fC2PCVjIIC4	https://cdn.discordapp.com/attachments/410951708274065409/455808271136063488/Iwatodai_Dorm.7z	
p3reincarnation	mod	P3 Reincarnation (Alt BGM Mod)	p3fes	Robot_Gerbil	6/30/2018	BGM	A mod that replaces some of the OST tracks with new official arrangements released after the game.		https://www.youtube.com/watch?v=HZ9Pmt50wGs	http://www.mediafire.com/file/2ons7c927n522nc/P3FES+Reincarnation.zip	
p3preincarnation	mod	P3P Reincarnation (Alternate OST)	p3p	Robot_Gerbil	6/30/2018	BGM	A mod that replaces some of the OST tracks with new official arrangements.		https://www.youtube.com/watch?v=KqlTWCmVbFk	http://www.mediafire.com/file/in0h6md1xngua4j/P3P+Reincarnation.zip	
nopausemodel	mod	No MC in Pause Menu	p5	Crowpocalypse	7/11/2018	UI	Placeholder for mods that use custom models for the MC.		https://www.youtube.com/watch?v=juLelxojM2I	https://mega.nz/#!nPoQRYhC!yRG55NLz2bB6CIPey5Ggv2V5QwyhAMJrbeFAF4p5TEo	
kaleidoscope	mod	Kaleidoscope Removal	p5	Alan3D	8/13/2018	UI	Removes the spinning kaleidoscope border inside Palaces and Mementos.		https://i.imgur.com/SudeHYT.gif	https://cdn.discordapp.com/attachments/476948670957355020/478740038184861697/Kaleidoscope_removal.rar	
p3font	mod	Persona 3 Font For P5	p5	Alan3D	8/14/2018	Font,UI	A port of the font from P3FES to P5. Looks best at increased resolution scales.		https://cdn.discordapp.com/attachments/476948670957355020/478710544413622292/unknown.png	https://cdn.discordapp.com/attachments/476948670957355020/478832074615291925/Persona_3_Font_1.1.zip	
aoabase	mod	Custom All Out Attack Base + Tutorial	p5	Alan3D	8/16/2018	UI,Templates	P3MC replacement for Joker in his All-Out-Attack + Tutorial on how to do one yourself!		https://66.media.tumblr.com/c3f99e21c7edb1df53e7f2fa02117621/tumblr_inline_pl680q6yWy1rp7sxh_500.gif	https://cdn.discordapp.com/attachments/410951708274065409/479834026597679105/All-Out-Attack_Mod.rar	
rngaffinities	mod	Randomized Affinities	p5	yangster	8/18/2018	Enemies,Persona	Randomized affinities for Personas and enemies		https://www.youtube.com/watch?v=RHt0V9uGCa4	https://cdn.discordapp.com/attachments/410951708274065409/480581290790486016/Randomized_Affinites.zip	
p4reincarnation	mod	P4 Reincarnation (Alt BGM Mod)	p4	Robot_Gerbil	10/7/2018	BGM	A mod that replaces most of the OST tracks with new official arrangements released after the game.			http://www.mediafire.com/file/0881p0hu7ja5cq5/P4+Reincarnation+Mod.zip	
fullmoonlight	mod	P3 Full Moonlight	p3fes	Robot_Gerbil	10/7/2018	BGM,Cutscenes	A combination of the Rebirth Cutscenes (P3 movie scenes adapted to original game cutscene dub) and Reincarnation BGM mods (alternate OST).		https://www.youtube.com/watch?v=NN_-0Pbp6ss	http://www.mediafire.com/file/sbveyyb28odwbs7/Full+Moonlight+1.1.zip	
rebirthcutscenes	mod	Rebirth Cutscenes	p3fes	Robot_Gerbil	10/7/2018	Cutscenes	This mod replaces almost all cutscenes in P3 FES The Journey with entirely new ones. Edited together using clips from the Persona 3 Movie series and audio from the original English dub of the game.		https://www.youtube.com/watch?v=HZ9Pmt50wGs	http://www.mediafire.com/file/h42f6vahi5ecfgh/Persona+3+Rebirth+Cutscenes+%5B1.1%5D.zip	
evttesting	mod	EVT Testing Mod	p5	TGE	1/1/2019	Event,GUI	Edit prebuild.bat with the proper paths to EVTTool and PAKPack in order to automatically compile edited event JSONs and test the results before the title screen even loads.		https://images-ext-2.discordapp.net/external/oLhF5D_o1ydrjRQPP41VewyB0I7mHcQRm5SUs3kGiZM/https/puu.sh/ADTz6.png?width=994&height=559	https://cdn.discordapp.com/attachments/450598503530627094/451232704999063553/EVT_testing.7z	
akechidate	mod	Akechi Valentine's Day Date	p5	rover,yangster	2/15/2019	Events	This is a demo for a gay romance mod that is still in progress.		https://www.youtube.com/watch?v=NHy3TTAj-Fw	https://cdn.discordapp.com/attachments/410951708274065409/545867401909108748/Akechi_Valentines_Day_Date.zip	
bustupfix	mod	Scalable/Redrawn Bustups (RPCS3 Fix)	p5	lipwig,AEBus,Gink	2/17/2019	Bustups,RPCS3,UI	This mod fixes the notorious bustup scaling issue for P5 on RPCS3. Unlike previous iterations of this fix, this mod does not have any annoying lines appearing when a character blinks or talks. These bustups were slightly "redrawn" and edited, so that the problem no longer occurs.		https://media.discordapp.net/attachments/546718581572894730/546718684555509770/Preview__150_Res_Scale.png	https://mega.nz/#F!3m5mWADZ!otR6Ddgai6xvoFcvTVuohQ	
p5unmasked	mod	Persona 5 Unmasked	p5	ShrineFox,DeathChaosV2	3/8/2019	Player,Party,Bustups	A mod that removes the masks from all party members' Phantom Thief outfits. Includes edited models and bustups. Note: Not all HUD elements have masks removed yet.	<b>Update v1.1 (3/8/2019):</b> <br>Changes courtesy of DeathChaos. Removed black face texture when using Persona skills in battle. Fixed Yusuke's hair clipping into his face.	https://www.youtube.com/watch?v=nh4VbnAOH2E	https://drive.google.com/open?id=1skaqXa1KBJYd3iOCUy6eB8u3hn6IS1uO	
p5botw	mod	Playable Link (BotW)	p5	Ruined	3/11/2019	Player,UI	This mod will let you play as Link from Breath of the Wild.<br>Specifically it replaces all of Jokers models with 5 Models of Link. It also replaces various images of Joker with Link.		https://www.youtube.com/watch?v=YrgB3RYxnF8	http://www.mediafire.com/file/dhotwpwkapqawpg/Link+%28BotW%29.rar	
p3dfemc	mod	FeMC over Fuuka	p3d	DeathChaosV2	3/22/2019	Player	Replaces Fuuka's default appearance with FeMC from P3P. Shoutout to Jinsters on DeviantArt for the hair and headphones models.		https://www.youtube.com/watch?v=FN7MydH0nqQ	https://drive.google.com/open?id=1oLGUSQUpa9kVzrZ2fTFDdmvgzHLv8wh9	
p5-kh	mod	346/3 Days	p5	Ruined	4/22/2019	Player,Party,UI	This is a Kingdom Hearts themed mod that replaces Joker, Ryuji, Morgana (Metaverse), and Ann with Roxas, Lea, Moogle XIII, and Xion. Most of the characters art have been replaced and 22 songs have been replaced with Kingdom Hearts songs..<br><br>Thanks to LexaKiness for Roxas, Lea, and Xion's models. Thanks to Zerox for the Moogle XIII model.		https://www.youtube.com/watch?v=f1i_v16xO3I	http://www.mediafire.com/file/w41dz1bn2ad0pe1/346+Days+Over+3.rar	
aoa-testing	mod	All-Out-Attack Testing Mod	p5	ShrineFox	4/23/2019	Script	This should make it a snap to quickly test changes to All Out Attack renders for any character. <br>1. Edit prebuild.bat with the paths to PAKPack and AtlusScriptCompiler <br>2. Edit this mod's Data/field/fini_000_002.bf.flow according to which party members you want (should be fairly straightforward) <br>3. Build the mod from the Mod Compendium and it will automatically compile the BF and repack the PAC!		https://cdn.discordapp.com/attachments/410951708274065409/570408242031755265/unknown.png	https://cdn.discordapp.com/attachments/410951708274065409/570408253503176704/AoA_Testing_Mod.7z	
pq2-bgm	mod	PQ2 BGM	p3fes	A-NB	4/24/2019	Sound	A small mod that replaces a few FES bgm tracks with music from PQ2.			https://www.dropbox.com/s/tb0fsd4qkozeqxh/PQ2%20Audio%20%280.5%29.zip	
p5espanolfuente	mod	Espa�ol font for P5	p5	Alan3D	5/21/2019	Font,Translation	Mod that adds special spanish characters to the P5 font for spanish translated mods		https://media.discordapp.net/attachments/410951708274065409/580247142212304940/unknown.png	https://cdn.discordapp.com/attachments/410951708274065409/580247184197287957/Fuente_en_espanol_para_P5.7z	
pq2talkanimfix	mod	Talk Animation Fix	pq2	DeathChaos,ShrineFox	6/7/2019	Script	A bug in the English localization of PQ2 causes protagonists' mouths to no longer animate during voiced cutscenes.<br><br>This mod is meant to fix that bug. <b>Note:</b> this hasn't been heavily tested yet, so if you encounter any issues, let us know.		https://cdn.discordapp.com/attachments/143149937247387649/586653231409790986/femctalk2.gif	https://drive.google.com/open?id=17SE58ZvZsIL9XEjp23-sw6XQWXfX3pTm	
p5-tartarus-music	mod	Mementos Tziah Block Mod	p5	Blue_SodaPop	7/23/2019	BGM	Replaces the standard Mementos Theme with the Tartarus theme from Persona 3.			https://drive.google.com/drive/folders/1UEf0pGz_yEDCRks8TZrfd9k0Fwfix2H1	
p3n-naoto	mod	P3N: Naoto Mod	p3fes	milkwood	7/25/2019	Player,Player,Voice,UI	Play as a different blue haired, gun wielding orphan in Persona 3. This mod replaces all of the MC's field/NPC models and the one-handed sword battle models, as well as most menu images.		https://i.imgur.com/HjpALeb.jpg	https://drive.google.com/open?id=1BkAzcCaPuSXzQ6ciICKOkTqrmMpUiVwA	
p5-takeover	mod	Take Over Battle Theme	p5	pazzoeo	8/3/2019	BGM	Replaces Last Surprise with Take Over from Persona 5 Royal.			https://mega.nz/#!m5Z12aIS!3jcgdsjMf6wDJlLmaOxBNqIvUv3wmY64mOohXz6I2ME	
